Wir sind das Volk (We are the people), motto of the "Monday demonstrations"	N	Y	Y
Workers of the world, unite! (Пролетарии всех стран, соединяйтесь!) 	N	N	Y
Tippecanoe and Tyler, Too 	N	N	N
54° 40′ or Fight 	N	N	N
We Polked you in ’44, We shall Pierce you in ’52 	Y	Y	Y
Don’t swap horses in midstream 	Y	Y	N
This is a White Man’s Government! 	Y	Y	Y
Vote as You Shot 	N	N	N
Grant beat Davis 	N	N	N
Grant us another term 	N	N	N
Tilden or Blood! 	N	N	N
Ma, Ma where’s my Pa? 	N	Y	Y
Rum, Romanism, and Rebellion 	Y	Y	Y
Grandfather’s hat fits Ben 	N	N	N
Four more years of the full dinner pail 	N	N	N
Full Dinner Pail 	N	N	N
Let Well Enough Alone 	N	N	Y
He kept us out of war 	Y	N	N
Keep Cool and Keep Coolidge 	Y	Y	N
Hoo but Hoover? 	Y	N	Y
Hoover we trusted, now we’re busted. 	Y	N	Y
I propose (to the American people) a New Deal 	N	Y	N
We are turning the corner 	N	Y	N
Defeat the New Deal and Its Reckless Spending 	N	N	Y
Let’s Get Another Deck 	Y	N	Y
Let’s Make It a Landon-Slide 	N	N	N
Life, Liberty, and Landon 	Y	N	N
Remember Hoover! 	Y	N	N
Sunflowers die in November 	N	Y	Y
No Fourth Term Either 	N	N	N
Roosevelt for Ex-President 	N	Y	Y
There’s No Indispensable Man 	Y	Y	Y
Washington Wouldn’t, Grant Couldn’t, Roosevelt Shouldn’t 	Y	Y	Y
We Want Willkie 	N	N	N
Give ’Em Hell, Harry! 	N	N	Y
I’m just wild about Harry 	N	N	N
Pour it on ’em, Harry! 	N	N	Y
I like Ike 	Y	N	N
I still like Ike 	Y	N	N
Peace and Prosperity 	Y	Y	N
In Your Heart, You Know He’s Right 	Y	Y	N
In Your Guts, You Know He’s Nuts 	Y	Y	Y
Go clean for Gene 	Y	Y	Y
Don’t Switch Dicks in the Middle of a Screw, Vote Nixon in ’72 	N	Y	N
Bozo and the Pineapple 	N	N	N
Let’s make America great again 	Y	N	Y
Morning Again in America 	N	N	Y
Read my lips 	N	Y	N
It’s Time to Change America 	Y	Y	Y
It’s The Economy, Stupid. 	N	N	Y
Ross for Boss 	Y	Y	Y
Yes, America Can! 	Y	Y	N
Yes We Can 	Y	Y	Y
Change We Can Believe In 	Y	N	Y
Country First 	Y	N	Y
The Strength and Experience to Bring Real Change 	Y	N	Y
Forward 	N	N	N
Believe in America 	Y	Y	Y
A Green New Deal For America - 2012 US presidential campaign slogan of Jill Stein	N	N	Y
